dates|result
28.04.2022 - 07:32:49|90,902
28.04.2022 - 07:31:17|85,694
28.04.2022 - 07:29:51|98,758
26.04.2022 - 17:11:34|138,726
26.04.2022 - 08:24:34|92,950
26.04.2022 - 08:22:58|109,690
26.04.2022 - 07:49:07|112,590
26.04.2022 - 07:47:14|83,548
25.04.2022 - 08:57:42|119,412
25.04.2022 - 08:55:42|99,544
25.04.2022 - 07:47:11|88,218
22.04.2022 - 05:28:48|127,943
21.04.2022 - 11:10:51|105,591
21.04.2022 - 07:23:54|102,268
21.04.2022 - 07:22:10|93,756
21.04.2022 - 07:20:35|100,977
20.04.2022 - 08:23:55|85,466
19.04.2022 - 08:39:36|114,952
19.04.2022 - 08:37:39|79,043
16.04.2022 - 06:40:54|81,059
16.04.2022 - 06:39:32|95,811
15.04.2022 - 07:35:44|63,082
14.04.2022 - 07:53:56|99,765
14.04.2022 - 07:52:15|78,596
13.04.2022 - 08:59:34|98,040
12.04.2022 - 09:17:43|88,741
12.04.2022 - 09:16:10|84,367
12.04.2022 - 09:14:44|79,598
12.04.2022 - 08:33:26|98,236
12.04.2022 - 08:31:47|87,178
12.04.2022 - 08:30:18|74,508
11.04.2022 - 09:34:02|118,578
11.04.2022 - 09:32:02|72,500
11.04.2022 - 09:30:48|131,236
11.04.2022 - 09:28:36|83,125
11.04.2022 - 09:27:12|104,989
11.04.2022 - 07:47:47|109,524
11.04.2022 - 07:45:32|104,436
10.04.2022 - 09:35:17|73,038
07.04.2022 - 21:40:00|99,699
07.04.2022 - 08:51:30|86,748
07.04.2022 - 08:50:02|101,333
05.04.2022 - 09:18:45|83,940
05.04.2022 - 09:17:20|88,346
05.04.2022 - 09:15:50|82,715
01.04.2022 - 07:33:30|116,076
31.03.2022 - 05:35:31|80,139
30.03.2022 - 15:44:10|89,603
29.03.2022 - 11:34:06|93,490
27.03.2022 - 22:18:18|84,827
24.03.2022 - 07:39:57|103,487
19.03.2022 - 17:53:58|100,344
19.03.2022 - 16:42:22|113,675
17.03.2022 - 07:39:52|92,285
15.03.2022 - 08:48:55|83,228
14.03.2022 - 13:17:11|81,117
14.03.2022 - 13:15:41|86,328
14.03.2022 - 13:14:13|85,899
14.03.2022 - 10:01:42|80,932
14.03.2022 - 08:34:50|88,789
14.03.2022 - 08:33:20|84,578
14.03.2022 - 08:31:16|93,549
11.03.2022 - 07:18:31|102,467
10.03.2022 - 08:41:40|136,111
10.03.2022 - 07:35:22|84,895
10.03.2022 - 07:33:56|83,725
09.03.2022 - 13:33:48|103,214
09.03.2022 - 13:32:03|87,198
09.03.2022 - 11:45:53|79,405
09.03.2022 - 08:51:36|84,534
09.03.2022 - 08:50:10|93,217
09.03.2022 - 08:21:56|92,171
09.03.2022 - 08:20:20|110,700
09.03.2022 - 08:18:27|73,749
06.03.2022 - 12:42:37|87,641
04.03.2022 - 08:48:11|62,151
04.03.2022 - 08:47:07|86,687
04.03.2022 - 07:38:27|91,405
04.03.2022 - 07:36:53|88,311
03.03.2022 - 11:34:19|94,821
03.03.2022 - 07:31:28|88,218
02.03.2022 - 07:59:43|84,862
01.03.2022 - 08:30:09|83,879
01.03.2022 - 07:35:21|120,908
01.03.2022 - 07:33:19|90,565
26.02.2022 - 20:06:28|89,133
25.02.2022 - 07:30:46|89,777
21.02.2022 - 23:28:38|86,895
